style,rating_count,beer_count,checkins_per_style
Mead - Pyment,4538,33,138.0
Strong Ale - American,4509,40,113.0
Stout - White / Golden,4431,20,222.0
Pale Ale - New Zealand,4425,37,120.0
Strong Ale - Other,4418,68,65.0
Cider - Rosé,4380,34,129.0
Pilsner - Imperial / Double,4347,33,132.0
Stout - English,4324,53,82.0
Hard Ginger Beer,4133,139,30.0
Historical Beer - Burton Ale,3933,18,218.0
Lager - American Light,3872,98,40.0
Pale Ale - Belgian,3859,92,42.0
Wheat Beer - Hopfenweisse,3838,16,240.0
Lager - Japanese Rice,3829,43,89.0
Table Beer,3286,27,122.0
IPA - Cold,3270,14,234.0
Other,3256,104,31.0
Historical Beer - Gruit / Ancient Herbed Ale,3254,56,58.0
IPA - Fruited,3234,6,539.0
Roggenbier,3191,45,71.0
Old Ale,3066,39,79.0
Wheat Beer - Dunkelweizen,3059,157,19.0
Lambic - Traditional,2904,33,88.0
IPA - Brett,2828,12,236.0
Altbier,2825,66,43.0
Historical Beer - Lichtenhainer,2811,10,281.0
Non-Alcoholic Cider / Perry,2799,23,122.0
Flavored Malt Beverage,2742,29,95.0
Non-Alcoholic Beer - Other,2687,124,22.0
Stout - Foreign / Export,2579,53,49.0
Bock - Weizendoppelbock,2390,16,149.0
Bock - Eisbock,2337,25,93.0
California Common,2316,29,80.0
Porter - Imperial / Double Coffee,2265,5,453.0
Wheat Beer - Hefeweizen Light / Leicht,2171,98,22.0
Bock - Hell / Maibock / Lentebock,2073,32,65.0
Porter - Coffee,2047,30,68.0
Historical Beer - Dampfbier,2008,10,201.0
Farmhouse Ale - Grisette,1966,26,76.0
Grodziskie / Grätzer,1813,16,113.0
Grape Ale - Italian,1799,26,69.0
Mild - Other,1781,75,24.0
Festbier,1738,45,39.0
Historical Beer - Adambier,1730,9,192.0
Bitter - Best,1652,9,184.0
Strong Ale - English,1589,33,48.0
Honey Beer,1521,36,42.0
Cream Ale,1513,41,37.0
Australian Sparkling Ale,1405,10,140.0
Mead - Acerglyn / Maple Wine,1391,5,278.0
Non-Alcoholic Beer - Porter / Stout,1387,9,154.0
Scottish Ale,1386,45,31.0
Malt Liquor,1127,7,161.0
Historical Beer - Other,1121,14,80.0
Farmhouse Ale - Bière de Garde,1119,12,93.0
Rye Wine,1106,9,123.0
Koji / Ginjo Beer,1088,5,218.0
Scottish Export Ale,993,17,58.0
Farmhouse Ale - Bière de Coupage,988,2,494.0
Historical Beer - Kentucky Common,981,5,196.0
Stout - Oyster,951,4,238.0
Specialty Grain,825,25,33.0
Pale Ale - XPA (Extra Pale),766,5,153.0
Lambic - Fruit,717,14,51.0
Stout - Imperial / Double White / Golden,649,5,130.0
Happoshu,640,3,213.0
Gluten-Free,607,9,67.0
Black & Tan,605,5,121.0
Lager - Other,577,9,64.0
Mild - Light,538,5,108.0
Lambic - Other,527,6,88.0
Traditional Ale,515,17,30.0
Bière de Champagne / Bière Brut,490,13,38.0
Pilsner - Italian,462,9,51.0
Lager - Red,360,27,13.0
Lager - Winter,360,15,24.0
Pilsner - New Zealand,330,4,82.0
Non-Alcoholic Mead,302,19,16.0
Lambic - Kriek,275,18,15.0
Lager - Leichtbier,254,2,127.0
Lambic - Framboise,220,2,110.0
Belgian Enkel / Patersbier,174,5,35.0
Historical Beer - Berliner Braunbier,127,1,127.0
Lambic - Faro,106,1,106.0
Mild - Dark,94,3,31.0
Historical Beer - Steinbier,81,1,81.0
Lambic - Gueuze,64,8,8.0
Historical Beer - Zoigl,37,3,12.0
Root Beer,34,3,11.0
Malt Beer,31,6,5.0
Farmhouse Ale - Bière de Mars,18,2,9.0
Lager - Euro Pale,11,9,1.0
Sour - Farmhouse IPA,7,1,7.0
Imperial Pale Ale,6,2,3.0
Historical Beer - Kottbusser,3,1,3.0
Lager - Euro Dark,2,1,2.0
Stout - Belgian,0,0,
Ukrainian Golden Ale,0,0,
Blonde Lager,0,0,
Golden Lager,0,0,
American Blonde Ale,0,0,
Harvest Ale,0,0,
Abbey Ale,0,0,
Belgian Trappist Ale,0,0,
Belgian Ale (Decommissioned),0,0,
Corn Beer / Chicha de Jora,0,0,
Stout - American Imperial / Double,0,0,
Sorghum / Millet Beer,0,0,
Golden Ale - American,0,0,
Golden Ale - English,0,0,
Golden Ale - Ukrainian,0,0,
Historical Beer - Broyhan,0,0,
Historical Beer - Kuit / Kuyt / Koyt,0,0,
Historical Beer - Mumme,0,0,
IPA - Brown,0,0,
Chile Beer,0,0,
